---
venue: cedars
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","Once Upon A Summertime","Blossom Dearie","Doop-Doo-De-Doop (A Doodlin' Song)","Dm","124.249976508065","02:20"
"2","The Devils' Music","Naomi & Her Handsome Devils","Sugar","C","131.291395348837","03:56"
"3","101 Hits - Swing Essentials","Duke Ellington & His Famous Orchestra","Take The 'A' Train","C","168.111151865051","02:53"
"4","Jump For Joy","Boilermaker Jazz Band","This Can't Be Love","Cm","192.748541666667","03:00"
"5","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Eight, Nine and Ten","E♭","176.175424355169","04:17"
"6","The Devils' Music","Naomi & Her Handsome Devils","I'm Livin' in a Great Big Way","C","155","03:33"
"7","Jump","Casey MacGill & The Spirits of Rhythm","Whadaya Want","D♭","150.138796776061","03:17"
"8","Happy Talk","Kermit Ruffins","More Today Than Yesterday","Dm","162.783892051028","04:00"
"9","","Professor Cunningham And His Old School","High Degree","Gm","158.16549215717","03:04"
"10","All the Cats Join In","IKS Big Band","It's Only a Paper Moon","B♭","129.929414225941","03:29"
"11","Battle Axe","Mint Julep Jazz Band","When I Get Low I Get High","Dm","202.468938547486","03:29"
"12","Fresh","Bria Skonberg","Why Do Fools Fall in Love","F","172","02:21"
"13","Swing Sucks","Big Sandy","Hey Girl, Hey Boy","C","168","02:49"
"14","","The Solomon Douglas Swingtet","Tuxedo Junction","B♭","152.397058823529","03:14"
"15","All the Cats Join In","IKS Big Band","Sing, Sing, Sing","Am","222.885555555556","03:44"
"16","Betcha Bottom Dollar","The Puppini Sisters","I Will Survive","Am","126","04:04"
"17","Photographs & Memories: His Greatest Hits","Jim Croce","Bad, Bad Leroy Brown","G","148.050597319425","03:03"
"18","","Mint Julep Jazz Band","Six Jerks In A Jeep","D","187.192288135593","03:08"
"19","Shirt Tail Bounce","Shirt Tail Stompers","In A Mellow Tone","A♭","150.872634835461","03:53"
"20","101 Hits - Swing Essentials","Benny Goodman and His Orchestra and Helen Ward","Goody Goody","C","192.483312883436","02:29"
"21","Bluebird 8884","The Four Clefs","I Like Pie I Like Cake","D♭","173.228947870918","02:49"
"22","Runaround Sue","Dion","Runaround Sue","E♭","161.05008456515","02:34"
"23","Jump For Joy","Boilermaker Jazz Band","When I Take My Sugar to Tea","F","167.456703296703","04:00"
"24","","Secret Swing Society","I Wanna Be Like You","Cm","194.808500974299","02:36"
"25","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Shoo Fly Pie and Apple Pan Dowdy","E♭","175","03:22"
"26","Photograph: The Very Best of Ringo Starr","Ringo Starr","You're Sixteen (You're Beautiful, and You're Mine)","D♭","124.67698630137","02:50"
"27","101 Hits - Swing Essentials","Bunny Berrigan","Ain't She Sweet","Cm","176.531961722488","02:36"
"28","Photographs & Memories: His Greatest Hits","Jim Croce","You Don't Mess Around With Jim","Em","164.50730071538","03:03"
"29","Street Corner Symphonies: The Complete Story of Doo Wop, Vol. 6: 1954","The Chords","Sh-Boom","F♯/G♭","139.783645833333","02:23"
"30","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Busy Line","E♭","216","02:55"
"31","Swipe Right For Vintage","Scott Bradlee's Postmodern Jukebox","Seven Nation Army","Gm","90.6591930980677","04:07"
"32","The Old Fashioned Way","Rosey","The Old Fashioned Way","Cm","149.076721551615","02:34"
"33","Anthology","The Dovells","Bristol Stomp","D","209.754117647059","02:19"
"34","","The Jive Aces","La Dulche Vita","B♭","160.189002644965","03:14"
