---
venue: hot metal blues
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","Sugar in My Bowl","Di Anne Price","Baby, You Got What it Takes","D♯m/E♭m","115.335046728972","04:32"
"2","","Holly Golightly","Black Night","","0","04:09"
"3","Bloodstains On The Wall","Big Bill Morganfield","Too Much","","0","03:55"
"4","","Buddy Guy","My Time After A While","","0","04:17"
"5","","Noah Guthrie","Sexy And I Know It","Em","116.923483146067","03:06"
"6","","Kathy Mattea","Wade In The Water","C♯m","116","03:24"
"7","The World Moves On","The Hitman Blues Band","Angel in the Shadows","A","103.504428474584","04:37"
"8","Casey Abrams","Casey Abrams","Hit The Road Jack","Am","78.4832578316226","03:47"
"9","Unplugged at Caffe Calabria","Earl Thomas","Give Me One Reason","Fm","88.0771768707483","05:30"
"10","","Carolina Chocolate Drops","Knockin'","Bm","83.2557569721116","05:28"
"11","The Very Best of Marvin Gaye","Marvin Gaye","Your Precious Love","B♭","101.38714893617","03:05"
"12","Ladies Man","Pinetop Perkins","Kansas City","C","121","04:44"
"13","","Tracy Chapman & Buddy Guy","Ain't No Sunshine When She's Gone","C","80.0661209268994","03:13"
"14","","Cable Street Rag Band","Lay Me Down","G","85.0589257152307","05:46"
"15","Bloodstains On The Wall","Big Bill Morganfield","Too Much","","0","03:55"
"16","Anthology","Muddy Waters","She's Nineteen Years Old","Bm","136.813714285714","03:16"
"17","","Norah Jones & Ray Charles","Here We Go Again","B♭","132.859813670115","03:58"
"18","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"
"19","Sugar in My Bowl","Di Anne Price","Sugar in My Bowl","Dm","74.070042377449","03:36"
"20","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","I Lost My Sugar in Salt Lake City","Gm","85.2138235294118","05:15"
"21","Let Them Talk","Hugh Laurie","Let Them Talk","C","73.8281469142314","04:10"

