---
venue: hot metal blues
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","","Etta James","Too Tired","B♭","121.65997064136","02:34"
"2","","Eight To The Bar","Walk Of Shame","Cm","110.152830188679","03:40"
"3","","James Cotton","Fever","D♭","116.919233421647","05:13"
"4","Unplugged at Caffe Calabria","Earl Thomas","Give Me One Reason","Fm","88.0771768707483","05:30"
"5","Reflections","B.B. King","Exactly Like You","A♭","110.529762960625","03:21"
"6","","Carolina Chocolate Drops","Knockin'","Bm","83.2557569721116","05:28"
"7","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"
"8","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","I Wanna Be Around","A♭","96.0760402684564","04:45"
"9","The Very Best of Marvin Gaye","Marvin Gaye","Your Precious Love","B♭","101.38714893617","03:05"
"10","","Ruth Brown","5-10-15 Hours","D♭","121.900135922465","03:12"
"11","Smokestack Lightning: The Complete Chess Masters 1951-1960 CD 2","Howlin' Wolf","I'm The Wolf","Em","76.2350774520403","02:53"
"12","Ladies Man","Pinetop Perkins","Kansas City","C","121","04:44"
"13","","Nina Simone","Tell It Like It Is","E♭","96.8859921823731","03:56"
"14","Reflections","B.B. King","Tomorrow Night","Fm","106.534924843522","03:36"
"15","","Ben L'oncle Soul","Feeling Good","Gm","82.6541584158416","04:12"
"16","","Karen Souza","Have You Ever Seen The Rain","C","78","04:10"
"17","My One And Only Thrill","Melody Gardot","Your Heart Is As Black As Night","Cm","72","02:44"
"18","The World Moves On","The Hitman Blues Band","I'm All About You","A","85.3286446886447","04:16"
"19","","Cable Street Rag Band","Lay Me Down","G","85.0589257152307","05:46"
"20","Reflections","B.B. King","I'll String Along with You","E♭","127.07369118224","03:32"
"21","The Ultimate Collection Disc 3","Ray Charles","Ain't That Love?","B♭m","119.299007120432","02:53"
"22","Smokestack Lightning: The Complete Chess Masters 1951-1960 CD 4","Howlin' Wolf","Spoonful","Em","119.577586206897","02:43"
"23","","Leftover Cuties","You Are My Sunshine","B♭m","87.9148888888889","04:26"

