---
venue: hot metal blues
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","","Nina Simone","Tell It Like It Is","E♭","96.8859921823731","03:56"
"2","Reflections","B.B. King","Exactly Like You","A♭","110.529762960625","03:21"
"3","","Karen Souza","Have You Ever Seen The Rain","C","78","04:10"
"4","The Very Best of Marvin Gaye","Marvin Gaye","Your Precious Love","B♭","101.38714893617","03:05"
"5","","Ruthie Foster","Death Came A-Knockin'","Cm","105.673842909935","03:23"
"6","Historical Misappropriation","Scott Bradlee & Postmodern Jukebox","No Diggity (feat. Ariana Savalas)","B♭m","70.779014447416","03:17"
"7","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"
"8","","Ben L'oncle Soul","Feeling Good","Gm","82.6541584158416","04:12"
"9","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","I Lost My Sugar in Salt Lake City","Gm","85.2138235294118","05:15"
"10","Didn't it rain","Hugh Laurie","The Weed Smoker's Dream","Dm","74.2850618260872","04:18"
"11","Complete Collection","B. B. King","The Thrill Is Gone","Bm","90.5153695354052","05:24"
"12","Matchmaker","Sheena Davis Group","Shboom (Life Could Be A Dream)","B♭","104.228547655515","04:58"
"13","New Beginning","Tracy Chapman","Give Me One Reason","F♯m","100.896775607659","04:28"
"14","Reflections","B.B. King","Tomorrow Night","Fm","106.534924843522","03:36"
"15","Ladies Man","Pinetop Perkins","Kansas City","C","121","04:44"
"16","","Leftover Cuties","You Are My Sunshine","B♭m","87.9148888888889","04:26"
"17","Let Them Talk","Hugh Laurie","St James Infirmary","Em","111.512560553238","06:23"
"18","","Leftover Cuties","Clarity","G","83.8115109480371","04:22"
"19","The Greatest Hits","Norah Jones","Don't Know Why","B♭","88.3147200793753","03:06"

