---
venue: cedars
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Shoo Fly Pie and Apple Pan Dowdy","E♭","175","03:22"
"2","Jump","Casey MacGill & The Spirits of Rhythm","Whadaya Want","D♭","150.138796776061","03:17"
"3","","Professor Cunningham And His Old School","One Thing","A♭","143.898726371389","02:28"
"4","Fresh","Bria Skonberg","Why Do Fools Fall in Love","F","172","02:21"
"5","","Barbara Rosene","I'm Wild About That Thing","Cm","111.228866666667","05:09"
"6","","The Jive Aces","La Dulche Vita","B♭","160.189002644965","03:14"
"7","All the Cats Join In","IKS Big Band","Sing, Sing, Sing","Am","222.885555555556","03:44"
"8","","Girls From Mars","Take The A Train","C","165.731341463415","04:09"
"9","","The Kalin Twins","When","F♯/G♭","184.467514885293","02:26"
"10","Runaround Sue","Dion","Runaround Sue","E♭","161.05008456515","02:34"
"11","Ol' King Cole","Ol' King Cole","Straighten Up & Fly Right","A♭","143.554769004519","02:45"
"12","Bluebird 8884","The Four Clefs","I Like Pie I Like Cake","D♭","173.228947870918","02:49"
"13","Duets and Duets II - 90Th Birthday Limited Collector's Edition (Disc 2);Duets and Duets II - 90Th Birthday Limited Collector's Edition (Disc 2)","Frank Sinatra (feat. Jimmy Buffett)","Mack the Knife","D","154.287307181584","04:27"
"14","Photographs & Memories: His Greatest Hits","Jim Croce","Bad, Bad Leroy Brown","G","148.050597319425","03:03"
"15","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Busy Line","E♭","216","02:55"
"16","","Mint Julep Jazz Band","Six Jerks In A Jeep","D","187.192288135593","03:08"
"17","The Devils' Music","Naomi & Her Handsome Devils","Sugar","C","131.291395348837","03:56"
"18","Betcha Bottom Dollar","The Puppini Sisters","I Will Survive","Am","126","04:04"
"19","Happy Talk","Kermit Ruffins","More Today Than Yesterday","Dm","162.783892051028","04:00"
"20","Deep Sea Ball - The Best Of Clyde McPhatter","Clyde McPhatter","A Lover's Question","A♭","166.277164545128","02:36"
"21","","The Four Preps","26 Miles","D","118.908883928571","02:29"
"22","","Della Reese","Whatever Lola Wants","B♭m","112.848015873016","03:16"
"23","Battle Axe","Mint Julep Jazz Band","When I Get Low I Get High","Dm","202.468938547486","03:29"
"24","Swing Sucks","The Bill Elliott Swing Orchestra","Mildred, Won't You Behave","C","193.034122807018","03:42"
"25","Anthology","The Dovells","Bristol Stomp","D","209.754117647059","02:19"
"26","Street Corner Symphonies: The Complete Story of Doo Wop, Vol. 6: 1954","The Chords","Sh-Boom","F♯/G♭","139.783645833333","02:23"
"27","All the Cats Join In","IKS Big Band","It's Only a Paper Moon","B♭","129.929414225941","03:29"
"28","","The Solomon Douglas Swingtet","Tuxedo Junction","B♭","152.397058823529","03:14"
"29","Swipe Right For Vintage","Scott Bradlee's Postmodern Jukebox","Seven Nation Army","Gm","90.6591930980677","04:07"
"30","Energia","J Balvin","Ginza","Fm","102","02:51"
"31","Anthology","Muddy Waters","She's Nineteen Years Old","Bm","136.813714285714","03:16"
"32","Ladies Man","Pinetop Perkins","Kansas City","C","121","04:44"
"33","","Nina Simone","Tell It Like It Is","E♭","96.8859921823731","03:56"
"34","Complete Collection","B. B. King","The Thrill Is Gone","Bm","90.5153695354052","05:24"
"35","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"
"36","The Complete Collection [Not Now] Disc 1","Robert Johnson","Sweet Home Chicago","Fm","100.947881513899","03:02"
"37","Smokestack Lightning: The Complete Chess Masters 1951-1960 CD 2","Howlin' Wolf","I'm The Wolf","Em","76.2350774520403","02:53"
"38","","Carolina Chocolate Drops","Knockin'","Bm","83.2557569721116","05:28"
"39","","Karen Souza","Have You Ever Seen The Rain","C","78","04:10"
"40","","Leftover Cuties","Clarity","G","83.8115109480371","04:22"
"41","Here Comes the Sun","Nina Simone","Angel of the Morning","E","74.1291304347826","03:33"
"42","","Leftover Cuties","Can't Help Falling In Love With You (Acoustic)","C","84.0409135550023","02:33"
"43","Didn't it rain","Hugh Laurie","Send Me To The 'Lectric Chair","Dm","73.6560834534264","05:27"
"44","My One And Only Thrill","Melody Gardot","Your Heart Is As Black As Night","Cm","72","02:44"
"45","Matchmaker","Sheena Davis Group","Shboom (Life Could Be A Dream)","B♭","104.228547655515","04:58"
"46","New Beginning","Tracy Chapman","Give Me One Reason","F♯m","100.896775607659","04:28"
"47","Smokestack Lightning: The Complete Chess Masters 1951-1960 CD 4","Howlin' Wolf","Spoonful","Em","119.577586206897","02:43"
"48","I Put a Spell on You","Nina Simone","Feeling Good","Gm","125.805330686915","02:58"
"49","","Leftover Cuties","You Are My Sunshine","B♭m","87.9148888888889","04:26"

